Sample ,Files ,Group
MA534ant,MA534ant_abundance.tsv,Antennae
MA534BL,MA534BL_abundance.tsv,Back legs
MA535ant,MA535ant_abundance.tsv,Antennae
MA535BL,MA535BL_abundance.tsv,Back legs
MA536ant,MA536ant_abundance.tsv,Antennae
MA536BL,MA536BL_abundance.tsv,Back legs
MA543ant,MA543ant_abundance.tsv,Antennae
MA543BL,MA543BL_abundance.tsv,Back legs
MA562ant,MA562ant_abundance.tsv,Antennae
MA562BL,MA562BL_abundance.tsv,Back legs
MA627ant,MA627ant_abundance.tsv,Antennae
MA627BL,MA627BL_abundance.tsv,Back legs
MA672ant,MA672ant_abundance.tsv,Antennae
MA672BL,MA672BL_abundance.tsv,Back legs